"Feedback","Sentiment Label","Ratings",""
"Good and clean hospital. There is great team of doctors and good OT facility. The medical facilities are all great with good in-patient post operative care by doctors, nurses. The housekeeping staff is also good but they can respond to calls from the room a little faster. ","1","5",""
"Had a really bad experience during discharge. They need to be sensitive and more transparent towards the patient and his/her family. ","1","5",""
"I have visited to take my second dose and Process was really smooth. Hospitality from all staffs are really appreciable. Shanti tooks good care and provide all details before vaccination. Thank you.","1","4",""
" That person was slightly clueless and offered only one package. But once i got to the hospital, I found a better and more economical one and decided to go ahead","1","3",""
"There is great team of doctors and good OT facility.","0","1",""
"My primary concern arose from the insistence on conducting multiple tests, which appeared unrelated to my condition, before initiating any treatment.","0","2",""
"Good and clean hospital.  The medical facilities are all great with good in-patient post operative care by doctors, nurses. The housekeeping staff is also good but they can respond to calls from the room a little faster.","1","5",""
"Recently underwent a surgery for my left shoulder, the doctors are extremely good, but the management needs to be more patient oriented than money minded.","1","3",""
"Over all experience was good, starting from reception,lab services and doctors interaction.Doctor with whom I have had consultation was so nice.He heard me with patience and clarified all my health condition.","1","5",""
"However,the services of front office (where we report first) need to be improved( services should be fast).","1","5",""
"Other wise no complaints, fully satisfied.","1","4",""
"Thanks to the Emergency doctor abhishek and Thanks to the security guard there","1","5",""
"They have expert doctors who gives the right medicines and helps the patients recover fast.","1","5",""
"I really liked the service there!","1","4",""
"Hopeless hospital. I don't know how they have got JCI and NABH. They have no value for patients or their attendants time.","0","2",""
"Receptionists only want money. They don't care if the doctor is 2 hrs late but give them money.","0","1",""
"I went for my father. He has tracheostomy n all issues. They made him wait for 1 hour n said wait if you want to or go.","0","2",""
"I called them to book an appointment, i requested for a senior doctor and seeked their years of experience, they don't want to share it, transparency is not there. when i called Appolo they give all the detail's,experience and i feel comfortable while choosing Doctor. Fortis,pls have transperency and it is right of a patient.","0","1",""
"I was having menopause related issues and went to see a gynecologist. ","1","5",""
"I really liked the service there!","1","5",""
"Thanks to the Emergency doctor abhishek and Thanks to the security guard there","1","4",""
"Say hello with folded hands.and Take the patient sitting in the wheel chair ...","1","5",""
"I noticed the price there is a bit high. But the treatment is very good and the behavior of the doctor is also very good.so I don't think such a hospital is anywhere near HRS Layout.","1","4",""
"Good experience, polite staff and timely service, well organized and hygienic","1","5",""
"a very nice experience during our stay and Treatment in the Fortis Hospital from 27-7-2023 to 3-8-2023. We felt like staying in our own home. Dr.Rajkumar Deshpande and his team Done the C1& C2 Surgical Spine Replacement under O arm Machine successfully .Doctors and other supporting staff for their wonderful services.","1","5",""
"Highly experienced doctors. Their analysis, interactions and treatment are excellent. ","1","5",""
"The rooms are very neat and clean. Very good house keeping. ","1","4",""
"The staff nurses are down to earth. Their caring and hospitality is highly appreciable. ","1","5",""
"Overall, the services from admission till discharge is excellent.","1","5",""
"We loved the hospitality of the staff members and doctors. They are so hardworking and put efforts to ensure good health and safety of the patients. Dr. Gayathri is an excellent doctor who also provides you guidance and emotional support","1","5",""
"The hospital service has been really good. The patient has been taken good care overall right from the consultation until the discharge, everything is seamless and hassle free. We went with the insurance and the processing time was quick.","1","5",""
"Dr. Sashidhara, cardiologist took every effort to diagnose the problem and suggested for the bypass and later the Surgeon ","1","5",""
"Dr. Murali Manohar took care of the operation with great confidence. Overall, it was a good experience throughout.","1","5",""
"Everything is well organised with the various rooms (for photo, blood test, xray, main doctor's consultation etc) all situated around the huge waiting room with the sequence you have to follow communicated to you at the billing counter.","1","4",""
"Card payment is accepted.","1","5",""
"While the cost of the tests is perhaps just a tad bit more than the other option (Elbit diagnostics), the convenience and service more than make up for it.","1","3",""
"While prior appointment booking is not required, you are advised to call before coming because the forms for some countries have to be printed and brought along with you (while others are available there).","1","3",""
"The place can get quite crowded so if you wish to get done with all formalities within 1.5-2 hours, it is better to reach there before 830am when the billing counter opens. Don't forget to pick out a token from the machine near the counter.","1","3",""
"We are really satisfied with the service from Fortis. There is no negative point about this hospital. Well maintained and very systematic. The best part is your time will not be wasted even for 1 min. Thanks for the doctors and all other workers.","1","5",""
"Had an emergency visit to the hospital with my father who was hospitalised for a couple of days due to a surgery. The doctors and staff of the hospital took utmost care. The best part of the hospital is that the team follows its processes and protocols so well.","1","4",""
"We had a great experience with the hospital.","1","5",""
"Dr.Jawali and his team were very impressive not only for the surgery and procedure but also post operative following up with the patient and ensuring he was feeling absolutely.","1","5",""
"I would also thank the ICU nurses and the ward Nurses and all the different Dr.’s who were involved in ensuring my father recovered. Thank you So much !!!","1","5",""
"Great care taken by the staff and hospital !! Special mention of Dr Vivek Padegal and Dr Ashish Parekh. Thanks to energetic and charming Nurse Ms Jacqueline for special care taken while treatment !!","1","4",""
"Dr Ravindra and team was excellent.","1","5",""
"Treatment given to the partient was impeccable! All the staff are much recognized for their dedication and kindness given to the patient throughout.","1","5",""
" Immense gratitude to all the Fortis team for ensuring my well-being, ensuring comfort and fast recovery.","1","4",""
"Thank you once again for your outstanding service and commitment towards excellence. Each one's role and efforts are much appreciated..","1","5",""
"Dr. Narayan Hulse is an amazing doctor. Nurses are also very humble and caring.","1","5",""
"Midnight also they are very quick and active. They are present near the patient whenever needed. ","1","5",""
"Food service is also very good. Housekeepers are doing their job efficiently. The hospital is very clean.","1","5",""
"My co-sister, 81 had a knee replacement during covid. Post surgery had complications pain did not subside. She became totally bedridden. ","1","4",""
"We met Dr. Narayan Hulse at Fortis for his opinion. He gave us 100% assurance and operated her.","1","5",""
"She walks now independently of course with Walker. She is ever grateful to him. Thanks a ton Doctor for giving her another life. ","1","5",""
" They book more appointments than capacity. My wife went for checkup in Fortis and my friend went to Hiranandani in Mumbai. Started same time at 8 am today. Friend finished the process by 11:30. Wife finished at 4 pm. Avoid for master health checkup.","1","3",""
"Don't go buy name of the hospital. ","0","1",""
"Worst experience when we went for the full body health checkup..","0","2",""
"Don't go buy name of the hospital. ","0","1",""
"They do not care.. only thing they care is money. Once money is in their bank account you are on your own.","0","2",""
"The staff for health checkup is worst and doesn't know how to manage people and give proper guidance. ","0","1",""
"If you say you do not have any visible issue they will finish the examination in less than a minute and send you out to serve next customer.","0","1",""
"Poor service, disorganized, no value for people's time and over-priced. ","0","2",""
"After charging a bomb to the patients they have no system in place. ","0","1",""
"Booking an appointment is a joke as you can never get things done as per the appointment time.","0","2",""
"They expect people to be unemployed or on indefinite leave while visiting their hospital for treatment.","0","2",""
"The road outside the hospital is full of garbage and dirty potholes, the hospital administration should take some responsibility to make it walk-able for patients and their families.","0","1",""
"I took a comprehensive health check up package here with an appointment date and time. The total duration we were supposed to wait was around 5-6 hours.","0","2",""
"I'd suggest just don't go by name. There are lot of local labs who provide much better services in less fees. Truly horrible and unexpected experience at Fortis.","1","3",""
"My Heartfelt Plea for Better Patient Care: A Harrowing Experience at Fortis Hospital","0","1",""
"Please display few boards in the entrance of the hospital and also in the emergency department","1","3",""
"Stating THIS HOSPITAL IS NOT FOR MIDDLE CLASS PEOPLE","1","3",""
"Nice hospital and doctors also good and they take care patience super.eventhing is super in the hospital 🎉 …","1","5",""
"Very good hospital and care.Excellent services. Happy with Fortis","1","5",""
"Dr. Harsha has provided amazing treatment. The night shift nurses are helpful. Overall management was very good.","1","4",""
"Must visit for Dr Suresh Babu for chemotherapy","1","3",""
"Dr Gayathri Kamath is a very good doctor.Very reliable who you can believe in .Very good services at Fortis.She made all my pregnancy complications nothing making it smooth and helped me getting recovered much faster.","1","5",""
"Dr.Vivek belatur treatment is super . Chemotherapy treatment went well and smooth . Happy with Fortis and it's services.","1","4",""
"My father has been treated under supervision of Dr Adil Hasaan and Dr Suresh Babu sir.","1","5",""
"The service provided here is good with very professional and friendly staff. Doctors were very professional, experienced and responsible. ","1","5",""
"Special thanks to Kavita for all the guidance and support she had provided us so far.","1","4",""
"Very crowdy and excessive long queues. Try to avoid and be happy😊😊 …","1","5",""
"Such a worst staff in this hospital.","0","1",""
"they are charging too much for small thing n most important thing is unka security staff Jo apko hospital staff se jyada enquiry karte hai n too much rude behaviour like a roadside loafer","0","1",""
"The overall dignosis, treantment plan and post opp recevery management was super excellent and have a complete recovery without any post opp complications despite having complex health condition prior to the surgery. ","1","5",""
"The entire doctors team, Dr Gayathri from gynaecology, Dr sharath chandra from surgery and Dr sudha from internal medicine, Dr Shwetha from gynaecology and the nursing staff, have given the best treatment and excellent psychological support to us.","1","4",""
"They were with us each and every stage planning the best treatment for me and also giving confidence and mental support, that we felt homely.","1","5",""
"This team of doctors was very friendly, approachable, service oriented and selfless service and extremely professional. Once again a big thank you from the bottom of our heart","1","5",""
"Dr Mohan Keshavamurthy and team All doctors, All nursing staff, especially 6th floor staff, Jeena Davis nursing supervisor... We thank each and every one for your support.....","1","4",""
"Always good","1","5",""
"Dr Manisha Rajpal Singh treated for Laparoscopy, Hysteroscopy, Dilatation & curettage, cervical cauterization, Bilateral Ovarian endometrosis excision. We came from Bangladesh specifically to consult the doctor.","1","4",""
"Doctor is very professional, caring. Dr Roopa from the team too. Nursing care are superb. Hygiene by support teams","1","5",""
"I done immigration health check up here in fortis hospital bannargetta.. ","1","5",""
"it was amazing experience and helpful staffs especially Ms poornima , Ms manjula ans Santhosh","1","4",""
"We have visited the hospital for knee replacement for my mother and Dr. Narayan Hulse has treated her very well and explained the minute details as well.","1","5",""
"Once the surgery is completed my mother has recovered well and thanks to Narayan Hulse and team who treated well and along with physiotherapy, nursing and House keeping department.","1","5",""
"Excellent treatment in Fortis bannergatta. Dr Anil Kumar Kustagi treatment made my son up and above. Nursing staffs are excellent.","1","4",""
"Dr Mohan Keshavamurthy operated for kidney stone with laser treatment. Overall treatment services are good. Nursing night staff was very caring.","1","5",""
"Had a better experience in the treatment of my mother at fortis hospital by Dr. Shashidhara","1","5",""
"Feel to bow to Dr Narayan Hulse. He is such a great doctor. I am relaxed once I heard from him about the surgery. ","1","4",""
"Big thanks to Dr Narayan Hulse. Nursing Mahalakshmi, Shalini, Nivetha many more attended on me. Very caring. Physio team are excellent in their work.","1","5",""
"Dr. Mohan Keshavamurthy has done my surgery. Nurses including Josena, Parimala they are very caring.","1","4",""
"The care and hospitality offered by the staff (from all the departments) and Fortis as a whole is excellent.","1","5",""
"Most importantly, the treating doctor Mr. Ravindra BS and the whole Gastroenterology department had been effective in diagnosing the health issue appropriately. ","1","5",""
"The treatment given by Dr.Ravindra and Team has brought a lot of improvements in my health and able to cope with my life as a very healthy and confident person. Thanks again for everything. Please keep up the good work!!","1","4",""
"Dr. Shabeer Ahmed is a very good doctor. He explained everything to us clearly and amazing treatment has been provided","1","5",""
"My husband is doing well. CABG is done by Dr Vivek Jawali & team Dr Murali Manohar, Dr Sudarshan, Dr Nikhil. ","1","4",""
"Happy with very good service by doctors and staffs ICU staffs are excellent. Polina, Prafulla, Priya toi are excellent. Big thanks to support staffs as well.","1","5",""
"Dr. Ravindra is undoubtedly an amazing doctor. The efficiency of treatment has helped to cure my health issues. Nurses are also providing good service.","1","5",""
"Review is for master health checkup.","0","1",""
"Poorly managed patient flow.","0","2",""
"They book more appointments than capacity. ","0","2",""
"My wife went for checkup in Fortis and my friend went to Hiranandani in Mumbai. Started same time at 8 am today. Friend finished the process by 11:30. Wife finished at 4 pm. Avoid for master health checkup.","0","1",""
"Excellent medical facilities and services.","1","5",""
"Dr. Ravindra is undoubtedly an amazing doctor. The efficiency of treatment has helped to cure my health issues. Nurses are also providing good service.","1","4",""
"We consulted Dr.Sudarshan G T, they treated us very well. We are happy with the hospital service.","1","5",""
"Dr Vivek Belathur is a very good oncologist. happy with his treatment. Kavitha madam is very helpful and kind.","1","4",""
"Happy to get treated by Dr Vivek Belathur ,the best oncologist in Bangalore. His care to his patient is wonderful.","1","5",""
"All the staffs afe caring and responsible.Ms Kavitha is an amazing pesrson who is very helpful in every step of the treatment.Thanks to Fortis.","1","5",""
"I have been visiting for Cancer treatment. Dr. Suresh Babu is coordinating for the treatment and experience with the doctor and hospital has been good.","1","5",""
"Nice response from doctor and staff Tq","1","4",""
"Diagnosis, treatment and care are good","1","4",""
"Hopeless hospital. I don't know how they have got JCI and NABH. They have no value for patients or their attendants time.","0","1",""
"Receptionists only want money. They don't care if the doctor is 2 hrs late but give them money.","0","2",""
"I went for my father. He has tracheostomy n all issues. They made him wait for 1 hour n said wait if you want to or go.","0","1",""
"I called them to book an appointment, i requested for a senior doctor and seeked their years of experience, they don't want to share it, transparency is not there. when i called Appolo they give all the detail's,experience and i feel comfortable while choosing Doctor. Fortis,pls have transperency and it is right of a patient.","0","1",""
"I was having menopause related issues and went to see a gynecologist. ","0","2",""
"hey kept me waiting until 4pm and then after several requests they let me see her. It was unfortunate for me to have gone for a check up and with this rather rude and very arrogant gynecologist. ","0","1",""
"Didn't give anesthesia and directly stabbed (this is the right word) my vagina. It happened 8years back. ","0","1",""
"After that incident I lost sensibility in that part. I could have left the hospital without seeing her if the hospital had not collected the fee in advance.","0","2",""
"It's a bad practice for the hospital to collect the fee in advance. So patients be alert while selecting your doctor.","0","1",""
"Not every body is like that. I have been busy all these years and now got free time and thought of sharing my experience","1","3",""
"Some of the doctors are very good... ","1","5",""
"but some of them are are really terrible especially the ones who are in emergency. ","1","3",""
"I had a very good repo for Fortis hospitals but no more ... they are good for themselves good for making money for them by employing such doctors ...","0","1",""
"And walking from the car parking to the hospital feels like a dungeon, under rattling pipes next to pump rooms and what not. Truly scary.","0","2",""
"Also, minimum car parking charge of ₹60 was pure loot. I'd barely left the car for 5 mins there, and still had to pay 60.","1","3",""
"Administrative service is so irresponsible for orthopaedic department, inspite of collecting token they have not billed me for hrs.","0","2",""
"I took an appointment for 11 am and its now 12:30 pm but still didn't got to see doctor, the ladies in reception are so rude that they do not care if the patient is suffering due to their delay in billing. They work so slow that patient has to wait for so long.","0","2",""
"Dr. Rajpal in cardiologist department, this whole Fortis hospital and the App myFortis is a total scam. They took the appointment fees, even when the appointment was cancelled they haven't refunded the amount back. From 12th July to this November i have not got the refund.","0","2",""
"I mean if you are so backdated and illiterate that you don't even know that account statement pdf and physical passbook would show same records then why even are you trying tO get an app for your hospital.","0","2",""
"Worst hospital. Simply looting people with too high charges. In emergency there was only 1 nurse who was not able to handle all. In billing there is only one person sitting causing inconvenience to huge queue. Only go there if you have too much money.","0","2",""
"Highly Disappointed for Security Service very arrogant speaks for all securities and admission counter Are very waste for Customer support Not given Solutions for ward Booking Billing Manager Ram is very careless speaks for customers not given proper solutions..","0","1",""
